task,split,model,original_mean,original_sd,improved_mean,improved_sd,delta,wilcoxon_p,cliffs_delta,n_seeds,note,p_holm
binary,day_ordered,logreg,0.7401,0.0,0.6448,0.0,0.0953,,1.0,5,var0,
binary,day_ordered,random_forest,0.6617,0.0068,0.6355,0.001,0.0263,0.0625,1.0,5,,0.4375
binary,day_ordered,xgboost,0.4393,0.0,0.6326,0.0,-0.1933,,-1.0,5,var0,
binary,random_70_30,logreg,0.8993,0.0009,0.9871,0.0003,-0.0879,0.0625,-1.0,5,,0.4375
binary,random_70_30,random_forest,0.9994,0.0,0.9999,0.0,-0.0005,0.0625,-1.0,5,,0.4375
binary,random_70_30,xgboost,0.9997,0.0,1.0,0.0,-0.0003,0.0625,-1.0,5,,0.4375
multiclass,random_70_30,logreg,0.6671,0.0207,0.7919,0.0141,-0.1248,0.0625,-1.0,5,,0.4375
multiclass,random_70_30,random_forest,0.9641,0.0253,0.9953,0.0002,-0.0312,0.0625,-1.0,5,,0.4375
multiclass,random_70_30,xgboost,0.8524,0.0926,0.9801,0.017,-0.1278,0.0625,-1.0,5,,0.4375
